,USunpl.response,phase,pID,Age,Group
34,7.0,3,TETE04,23,0
2,8.0,0,THTO03,16,0
22,8.0,2,THTO03,16,0
34,9.0,3,THTO03,16,0
2,8.0,0,TRME19,16,0
22,9.0,2,TRME19,16,0
34,7.0,3,TRME19,16,0
2,8.0,0,ULEN10,31,1
2,9.0,0,VATO12,17,0
22,10.0,2,VATO12,17,0
34,9.0,3,VATO12,17,0
2,8.0,0,WANE30,50,1
22,8.0,2,WANE30,50,1
34,7.0,3,WANE30,50,1
2,7.0,0,WAST30,50,1
22,7.0,2,WAST30,50,1
34,2.0,3,WAST30,50,1
2,10.0,0,XUSA07,15,0
22,10.0,2,XUSA07,15,0
34,10.0,3,XUSA07,15,0
2,4.0,0,ZODE30,18,0
22,10.0,2,ZODE30,18,0
34,9.0,3,ZODE30,18,0
